CMDLINE 32069
MEM 894.398438 1731076080.1697
MEM 894.398438 1731076080.2702
MEM 894.398438 1731076080.3706
MEM 894.398438 1731076080.4710
MEM 894.398438 1731076080.5713
MEM 894.398438 1731076080.6718
MEM 941.601562 1731076080.7820
MEM 941.859375 1731076080.8823
MEM 989.382812 1731076080.9826
MEM 989.382812 1731076081.0832
MEM 989.382812 1731076081.1837
MEM 923.171875 1731076081.2841
MEM 997.734375 1731076081.3846
MEM 893.492188 1731076081.4851
MEM 887.187500 1731076081.5855
MEM 887.187500 1731076081.6860
MEM 840.132812 1731076081.7864
MEM 840.132812 1731076081.8869
MEM 840.132812 1731076081.9872
MEM 840.132812 1731076082.0877
MEM 840.132812 1731076082.1881
MEM 840.132812 1731076082.2885
MEM 840.132812 1731076082.3891
MEM 840.132812 1731076082.4895
MEM 840.132812 1731076082.5901
MEM 840.132812 1731076082.6904
MEM 840.132812 1731076082.7908
MEM 840.132812 1731076082.8913
MEM 840.132812 1731076082.9918
MEM 895.066406 1731076083.0922
MEM 895.312500 1731076083.1926
MEM 895.828125 1731076083.2931
MEM 895.828125 1731076083.3935
MEM 896.085938 1731076083.4938
MEM 944.058594 1731076083.5942
MEM 944.058594 1731076083.6946
MEM 992.289062 1731076083.7950
MEM 992.542969 1731076083.8954
MEM 992.800781 1731076083.9957
MEM 938.152344 1731076084.0961
MEM 1001.011719 1731076084.1966
MEM 960.710938 1731076084.2971
MEM 951.699219 1731076084.3977
MEM 904.625000 1731076084.4982
MEM 904.625000 1731076084.5987
MEM 904.625000 1731076084.6990
MEM 904.625000 1731076084.7994
MEM 904.625000 1731076084.8999
MEM 904.625000 1731076085.0003
MEM 904.625000 1731076085.1008
MEM 904.625000 1731076085.2012
MEM 904.625000 1731076085.3017
MEM 904.625000 1731076085.4022
MEM 904.625000 1731076085.5026
MEM 904.625000 1731076085.6030
MEM 904.625000 1731076085.7034
MEM 904.625000 1731076085.8038
MEM 904.625000 1731076085.9044
MEM 904.625000 1731076086.0049
MEM 904.625000 1731076086.1054
MEM 904.625000 1731076086.2059
MEM 904.625000 1731076086.3062
MEM 902.625000 1731076086.4068
